LV,NODE,L1,DATA_TIME,U,IR,IX
1,354010389385,A,2019-04-18 22:45:00,227.94,43.3940455,-0.170718231
1,354010389382,A,2019-04-20 11:45:00,226.66,71.90718565,36.34580564
1,354019022843,A,2019-04-18 16:15:00,229.2,11.05407122,1.504936748
1,354010389383,A,2019-04-18 00:15:00,231.3857143,41.16541517,-10.61491032
1,354010389381,A,2019-04-20 04:00:00,230.6714286,8.528663955,4.510226942
1,354013332709,A,2019-04-18 20:15:00,228.5,22.39858683,-6.539819521
1,354010389386,A,2019-04-20 09:00:00,229.12,2.353210267,0.132095031
1,354019022841,A,2019-04-19 01:45:00,231,0.181275725,5.905031565
1,354010389388,A,2019-04-19 02:45:00,230.675,2.693190576,0.543260224
1,354019022839,A,2019-04-19 11:15:00,228.3142857,1.816299069,1.228127278
1,354010389381,A,2019-04-19 15:30:00,229.5857143,16.19070964,-5.511705598
1,354010389385,A,2019-04-18 10:00:00,229.3,-2.257161801,7.453808796
1,354019022841,A,2019-04-18 07:00:00,229.6,1.34884049,4.487652052
1,354010389385,A,2019-04-19 18:15:00,229,17.62786176,6.412583828
1,354010389384,A,2019-04-20 12:15:00,228,0.003284672,0.373146271
1,354019022841,A,2019-04-20 13:45:00,228.1,11.5641131,14.45598906
1,354010389382,A,2019-04-20 07:00:00,229.58,30.19082355,23.40109933
1,354010389383,A,2019-04-20 23:30:00,229.5571429,84.25588039,-9.988391821
1,354010389388,A,2019-04-19 20:45:00,227.5,4.794766511,4.407538007
1,354010389382,A,2019-04-19 04:15:00,230.26,38.76308227,26.13702829
1,354019022839,A,2019-04-20 12:15:00,228.2,-7.018439754,18.0276247
1,354010389386,A,2019-04-18 14:15:00,229.76,3.990825765,3.094561141
1,354010389388,A,2019-04-20 20:15:00,226.325,4.549177472,-2.524230016
1,354010389386,A,2019-04-19 01:45:00,231.14,-3.501925933,10.49867263
1,354013332709,A,2019-04-18 19:15:00,227.9,-14.15687678,17.90046125
1,354019022843,A,2019-04-20 08:15:00,229.55,9.686162499,1.07709114
1,354019022842,A,2019-04-18 01:00:00,232.5,0,0
